File,Algorithm,Search,ObjectiveFunctionValue,Time(ns),NotFeasible,SolutionFile
SetA_10x4S20,MinCapacityRandom,GreedyInDoorSwap,6700.0,1781779,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacityRandom,GreedyOutDoorSwap,6650.0,2072567,,SetA_10x4S20-Solution
SetA_10x4S30,MaxCapacity,GreedySupplierReloc,6467.0,2492248,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacity,GreedyCustomerReloc,6671.0,2426665,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacity,GreedySupplierSwap,6934.0,1638465,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacity,GreedyCustomerSwap,6888.0,1654284,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacity,GreedyInDoorSwap,6643.0,1903513,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacity,GreedyOutDoorSwap,6729.0,1941918,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacity,GreedySupplierReloc,6534.0,1975566,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacity,GreedyCustomerReloc,6555.0,2127294,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacity,GreedySupplierSwap,6774.0,1285986,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacity,GreedyCustomerSwap,6774.0,1392099,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacity,GreedyInDoorSwap,6541.0,1796069,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacity,GreedyOutDoorSwap,6501.0,1801937,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacityRandom,GreedySupplierReloc,6737.0,2224531,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacityRandom,GreedyCustomerReloc,6543.0,1991259,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacityRandom,GreedySupplierSwap,6666.0,1716079,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacityRandom,GreedyCustomerSwap,6920.0,1640686,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacityRandom,GreedyInDoorSwap,6602.0,2936803,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacityRandom,GreedyOutDoorSwap,6793.0,1939922,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacityRandom,GreedySupplierReloc,6526.0,1924208,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacityRandom,GreedyCustomerReloc,6691.0,2498142,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacityRandom,GreedySupplierSwap,6607.0,1636628,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacityRandom,GreedyCustomerSwap,6822.0,2074036,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacityRandom,GreedyInDoorSwap,6621.0,1877658,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacityRandom,GreedyOutDoorSwap,6718.0,1784906,,SetA_10x4S30-Solution
SetA_10x4S5,MaxCapacity,GreedySupplierReloc,-2.0,1591246,X,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacity,GreedyCustomerReloc,-24.0,1659102,,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacity,GreedySupplierSwap,-2.0,1317286,X,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacity,GreedyCustomerSwap,-2.0,1289709,X,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacity,GreedyInDoorSwap,-347.0,2487288,,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacity,GreedyOutDoorSwap,-261.0,2023811,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacity,GreedySupplierReloc,6948.0,1192215,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacity,GreedyCustomerReloc,6937.0,1618142,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacity,GreedySupplierSwap,6948.0,1254338,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacity,GreedyCustomerSwap,6948.0,1226154,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacity,GreedyInDoorSwap,6753.0,1846058,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacity,GreedyOutDoorSwap,6724.0,2088911,,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacityRandom,GreedySupplierReloc,6748.0,1199856,,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacityRandom,GreedyCustomerReloc,-2.0,1810485,X,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacityRandom,GreedySupplierSwap,-2.0,1236303,X,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacityRandom,GreedyCustomerSwap,-2.0,1239397,X,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacityRandom,GreedyInDoorSwap,-43.0,1814237,,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacityRandom,GreedyOutDoorSwap,-2.0,1510618,X,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacityRandom,GreedySupplierReloc,6729.0,1187860,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacityRandom,GreedyCustomerReloc,-24.0,1610732,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacityRandom,GreedySupplierSwap,-2.0,1248026,X,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacityRandom,GreedyCustomerSwap,6780.0,1238835,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacityRandom,GreedyInDoorSwap,-578.0,2070455,,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacityRandom,GreedyOutDoorSwap,-2.0,1718211,X,SetA_10x4S5-Solution
SetA_10x5S10,MaxCapacity,GreedySupplierReloc,7008.0,1213254,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacity,GreedyCustomerReloc,7008.0,1280486,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacity,GreedySupplierSwap,7008.0,1239943,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacity,GreedyCustomerSwap,7008.0,1311994,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacity,GreedyInDoorSwap,6805.0,1940536,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacity,GreedyOutDoorSwap,6664.0,1875121,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacity,GreedySupplierReloc,6936.0,1878093,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacity,GreedyCustomerReloc,6936.0,1192969,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacity,GreedySupplierSwap,6936.0,1195146,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacity,GreedyCustomerSwap,6936.0,1280186,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacity,GreedyInDoorSwap,6894.0,1943239,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacity,GreedyOutDoorSwap,6786.0,1974284,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacityRandom,GreedySupplierReloc,7011.0,1201922,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacityRandom,GreedyCustomerReloc,6986.0,1167808,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacityRandom,GreedySupplierSwap,7149.0,1179053,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacityRandom,GreedyCustomerSwap,7427.0,1174673,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacityRandom,GreedyInDoorSwap,6615.0,2266848,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacityRandom,GreedyOutDoorSwap,6791.0,2614860,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacityRandom,GreedySupplierReloc,6909.0,1763487,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacityRandom,GreedyCustomerReloc,7322.0,1220769,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacityRandom,GreedySupplierSwap,7057.0,1226654,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacityRandom,GreedyCustomerSwap,7020.0,1347377,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacityRandom,GreedyInDoorSwap,6952.0,1908213,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacityRandom,GreedyOutDoorSwap,6727.0,1962076,,SetA_10x5S10-Solution
SetA_10x5S15,MaxCapacity,GreedySupplierReloc,7008.0,1221049,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacity,GreedyCustomerReloc,7008.0,1542806,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacity,GreedySupplierSwap,7008.0,1201674,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacity,GreedyCustomerSwap,7008.0,1182700,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacity,GreedyInDoorSwap,6805.0,1918641,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacity,GreedyOutDoorSwap,6664.0,1842753,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacity,GreedySupplierReloc,7030.0,1395967,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacity,GreedyCustomerReloc,6708.0,1786746,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacity,GreedySupplierSwap,7030.0,1218433,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacity,GreedyCustomerSwap,7030.0,1261404,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacity,GreedyInDoorSwap,6950.0,2062547,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacity,GreedyOutDoorSwap,6850.0,2056701,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacityRandom,GreedySupplierReloc,7370.0,1617675,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacityRandom,GreedyCustomerReloc,7013.0,1748080,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacityRandom,GreedySupplierSwap,6963.0,1177277,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacityRandom,GreedyCustomerSwap,6951.0,1280714,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacityRandom,GreedyInDoorSwap,6855.0,1920241,,SetA_10x5S15-Solution
