Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,ValueDeviation,Time(s),OptimalSolutionTime(s),TimeDeviation,SolutionFile
SetA_15x6S10,GRASP_VND,Reloc-Swap-DoorSwap,100,14196.0,13803.0,2.847,0.048,42.626,-99.887,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,14089.0,13803.0,2.072,0.156,42.626,-99.635,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,14076.0,13803.0,1.978,0.137,42.626,-99.680,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,13975.0,13803.0,1.246,0.348,42.626,-99.185,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,14015.0,13803.0,1.536,0.362,42.626,-99.151,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,14046.0,13803.0,1.760,1.223,42.626,-97.130,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,13955.0,13803.0,1.101,1.187,42.626,-97.215,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,13974.0,13803.0,1.239,9.237,42.626,-78.329,SetA_15x6S10-Solution
SetA_15x6S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,13980.0,13803.0,1.282,9.200,42.626,-78.417,SetA_15x6S10-Solution
SetA_15x6S15,GRASP_VND,DoorSwap-Reloc-Swap,1,14630.0,13765.0,6.284,0.012,47.19,-99.975,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,Reloc-Swap-DoorSwap,1,14727.0,13765.0,6.989,0.011,47.19,-99.977,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,DoorSwap-Reloc-Swap,10,14197.0,13765.0,3.138,0.021,47.19,-99.956,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,Reloc-Swap-DoorSwap,10,14308.0,13765.0,3.945,0.020,47.19,-99.959,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,DoorSwap-Reloc-Swap,100,13903.0,13765.0,1.003,0.048,47.19,-99.899,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,Reloc-Swap-DoorSwap,100,13960.0,13765.0,1.417,0.047,47.19,-99.900,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,13934.0,13765.0,1.228,0.167,47.19,-99.645,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,13891.0,13765.0,0.915,0.137,47.19,-99.710,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,13897.0,13765.0,0.959,0.380,47.19,-99.194,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,13859.0,13765.0,0.683,0.322,47.19,-99.318,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,13881.0,13765.0,0.843,1.317,47.19,-97.209,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,13907.0,13765.0,1.032,1.250,47.19,-97.351,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,13867.0,13765.0,0.741,9.978,47.19,-78.857,SetA_15x6S15-Solution
SetA_15x6S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,13924.0,13765.0,1.155,10.151,47.19,-78.489,SetA_15x6S15-Solution
SetA_15x6S20,GRASP_VND,DoorSwap-Reloc-Swap,1,14496.0,13720.0,5.656,0.012,48.126,-99.975,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,Reloc-Swap-DoorSwap,1,14329.0,13720.0,4.439,0.012,48.126,-99.976,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,DoorSwap-Reloc-Swap,10,14147.0,13720.0,3.112,0.021,48.126,-99.956,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,Reloc-Swap-DoorSwap,10,13992.0,13720.0,1.983,0.019,48.126,-99.960,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,DoorSwap-Reloc-Swap,100,13941.0,13720.0,1.611,0.052,48.126,-99.893,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,Reloc-Swap-DoorSwap,100,13985.0,13720.0,1.931,0.047,48.126,-99.902,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,13817.0,13720.0,0.707,0.186,48.126,-99.613,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,13880.0,13720.0,1.166,0.139,48.126,-99.712,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,13866.0,13720.0,1.064,0.425,48.126,-99.116,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,13891.0,13720.0,1.246,0.329,48.126,-99.316,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,13835.0,13720.0,0.838,1.422,48.126,-97.046,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,13841.0,13720.0,0.882,1.321,48.126,-97.255,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,13791.0,13720.0,0.517,10.424,48.126,-78.341,SetA_15x6S20-Solution
SetA_15x6S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,13809.0,13720.0,0.649,10.245,48.126,-78.711,SetA_15x6S20-Solution
SetA_15x6S30,GRASP_VND,DoorSwap-Reloc-Swap,1,14384.0,13567.0,6.022,0.012,53.878,-99.977,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,Reloc-Swap-DoorSwap,1,14350.0,13567.0,5.771,0.012,53.878,-99.978,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,DoorSwap-Reloc-Swap,10,13907.0,13567.0,2.506,0.027,53.878,-99.951,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,Reloc-Swap-DoorSwap,10,13816.0,13567.0,1.835,0.022,53.878,-99.960,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,DoorSwap-Reloc-Swap,100,13776.0,13567.0,1.541,0.064,53.878,-99.881,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,Reloc-Swap-DoorSwap,100,13835.0,13567.0,1.975,0.049,53.878,-99.910,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,13730.0,13567.0,1.201,0.217,53.878,-99.597,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,13775.0,13567.0,1.533,0.167,53.878,-99.690,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,13658.0,13567.0,0.671,0.492,53.878,-99.086,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,13700.0,13567.0,0.980,0.421,53.878,-99.219,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,13642.0,13567.0,0.553,1.550,53.878,-97.124,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,13610.0,13567.0,0.317,1.472,53.878,-97.269,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,13671.0,13567.0,0.767,11.841,53.878,-78.023,SetA_15x6S30-Solution
SetA_15x6S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,13676.0,13567.0,0.803,11.793,53.878,-78.112,SetA_15x6S30-Solution
SetA_15x6S5,GRASP_VND,DoorSwap-Reloc-Swap,1,14697.0,13927.0,5.529,0.013,39.34,-99.966,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,Reloc-Swap-DoorSwap,1,14854.0,13927.0,6.656,0.013,39.34,-99.968,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,DoorSwap-Reloc-Swap,10,14544.0,13927.0,4.430,0.023,39.34,-99.943,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,Reloc-Swap-DoorSwap,10,14614.0,13927.0,4.933,0.021,39.34,-99.945,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,DoorSwap-Reloc-Swap,100,14395.0,13927.0,3.360,0.053,39.34,-99.864,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,Reloc-Swap-DoorSwap,100,14436.0,13927.0,3.655,0.049,39.34,-99.875,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,14086.0,13927.0,1.142,0.157,39.34,-99.602,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,14230.0,13927.0,2.176,0.152,39.34,-99.615,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,14163.0,13927.0,1.695,0.419,39.34,-98.935,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,14195.0,13927.0,1.924,0.427,39.34,-98.915,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,14093.0,13927.0,1.192,2.236,39.34,-94.316,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,14144.0,13927.0,1.558,2.225,39.34,-94.344,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,14071.0,13927.0,1.034,19.888,39.34,-49.445,SetA_15x6S5-Solution
SetA_15x6S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,14059.0,13927.0,0.948,19.653,39.34,-50.044,SetA_15x6S5-Solution
SetA_15x7S10,GRASP_VND,DoorSwap-Reloc-Swap,1,15587.0,14810.0,5.246,0.013,150.701,-99.992,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,Reloc-Swap-DoorSwap,1,15509.0,14810.0,4.720,0.012,150.701,-99.992,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,DoorSwap-Reloc-Swap,10,15276.0,14810.0,3.147,0.021,150.701,-99.986,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,Reloc-Swap-DoorSwap,10,15066.0,14810.0,1.729,0.023,150.701,-99.985,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,DoorSwap-Reloc-Swap,100,15125.0,14810.0,2.127,0.051,150.701,-99.966,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,Reloc-Swap-DoorSwap,100,15158.0,14810.0,2.350,0.050,150.701,-99.967,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,15048.0,14810.0,1.607,0.193,150.701,-99.872,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,14961.0,14810.0,1.020,0.167,150.701,-99.889,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,14924.0,14810.0,0.770,0.399,150.701,-99.735,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,14932.0,14810.0,0.824,0.375,150.701,-99.751,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,14867.0,14810.0,0.385,1.276,150.701,-99.153,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,14851.0,14810.0,0.277,1.243,150.701,-99.175,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,14810.0,14810.0,0.000,8.840,150.701,-94.134,SetA_15x7S10-Solution
SetA_15x7S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,14845.0,14810.0,0.236,8.944,150.701,-94.065,SetA_15x7S10-Solution
SetA_15x7S15,GRASP_VND,DoorSwap-Reloc-Swap,1,15578.0,14657.0,6.284,0.013,189.589,-99.993,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,Reloc-Swap-DoorSwap,1,15233.0,14657.0,3.930,0.013,189.589,-99.993,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,DoorSwap-Reloc-Swap,10,15022.0,14657.0,2.490,0.024,189.589,-99.987,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,Reloc-Swap-DoorSwap,10,15150.0,14657.0,3.364,0.024,189.589,-99.987,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,DoorSwap-Reloc-Swap,100,14800.0,14657.0,0.976,0.056,189.589,-99.970,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,Reloc-Swap-DoorSwap,100,14961.0,14657.0,2.074,0.052,189.589,-99.973,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,14801.0,14657.0,0.982,0.221,189.589,-99.884,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,14819.0,14657.0,1.105,0.172,189.589,-99.909,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,14740.0,14657.0,0.566,0.460,189.589,-99.757,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,14810.0,14657.0,1.044,0.384,189.589,-99.797,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,14704.0,14657.0,0.321,1.416,189.589,-99.253,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,14776.0,14657.0,0.812,1.352,189.589,-99.287,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,14718.0,14657.0,0.416,9.659,189.589,-94.906,SetA_15x7S15-Solution
SetA_15x7S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,14796.0,14657.0,0.948,9.660,189.589,-94.905,SetA_15x7S15-Solution
SetA_15x7S20,GRASP_VND,DoorSwap-Reloc-Swap,1,15474.0,14514.0,6.614,0.013,137.752,-99.991,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,Reloc-Swap-DoorSwap,1,15151.0,14514.0,4.389,0.012,137.752,-99.991,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,DoorSwap-Reloc-Swap,10,15050.0,14514.0,3.693,0.025,137.752,-99.982,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,Reloc-Swap-DoorSwap,10,14925.0,14514.0,2.832,0.024,137.752,-99.983,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,DoorSwap-Reloc-Swap,100,14657.0,14514.0,0.985,0.062,137.752,-99.955,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,Reloc-Swap-DoorSwap,100,14817.0,14514.0,2.088,0.051,137.752,-99.963,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,14695.0,14514.0,1.247,0.222,137.752,-99.839,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,14658.0,14514.0,0.992,0.177,137.752,-99.871,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,14580.0,14514.0,0.455,0.498,137.752,-99.638,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,14619.0,14514.0,0.723,0.423,137.752,-99.693,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,14657.0,14514.0,0.985,1.501,137.752,-98.911,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,14578.0,14514.0,0.441,1.389,137.752,-98.992,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,14530.0,14514.0,0.110,10.591,137.752,-92.312,SetA_15x7S20-Solution
SetA_15x7S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,14589.0,14514.0,0.517,10.416,137.752,-92.438,SetA_15x7S20-Solution
SetA_15x7S30,GRASP_VND,DoorSwap-Reloc-Swap,1,14993.0,14409.0,4.053,0.015,80.685,-99.982,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,Reloc-Swap-DoorSwap,1,15235.0,14409.0,5.733,0.011,80.685,-99.986,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,DoorSwap-Reloc-Swap,10,14800.0,14409.0,2.714,0.026,80.685,-99.968,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,Reloc-Swap-DoorSwap,10,14875.0,14409.0,3.234,0.022,80.685,-99.973,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,DoorSwap-Reloc-Swap,100,14590.0,14409.0,1.256,0.061,80.685,-99.924,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,Reloc-Swap-DoorSwap,100,14561.0,14409.0,1.055,0.056,80.685,-99.931,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,14551.0,14409.0,0.985,0.294,80.685,-99.635,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,14571.0,14409.0,1.124,0.190,80.685,-99.765,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,14464.0,14409.0,0.382,0.606,80.685,-99.249,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,14480.0,14409.0,0.493,0.455,80.685,-99.436,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,14502.0,14409.0,0.645,1.715,80.685,-97.874,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,14484.0,14409.0,0.521,1.571,80.685,-98.053,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,14443.0,14409.0,0.236,11.723,80.685,-85.470,SetA_15x7S30-Solution
SetA_15x7S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,14477.0,14409.0,0.472,11.760,80.685,-85.425,SetA_15x7S30-Solution
SetA_15x7S5,GRASP_VND,DoorSwap-Reloc-Swap,1,15587.0,15054.0,3.541,0.013,169.232,-99.992,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,Reloc-Swap-DoorSwap,1,15615.0,15054.0,3.727,0.014,169.232,-99.992,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,DoorSwap-Reloc-Swap,10,15411.0,15054.0,2.371,0.024,169.232,-99.986,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,Reloc-Swap-DoorSwap,10,15614.0,15054.0,3.720,0.023,169.232,-99.987,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,DoorSwap-Reloc-Swap,100,15313.0,15054.0,1.720,0.050,169.232,-99.971,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,Reloc-Swap-DoorSwap,100,15323.0,15054.0,1.787,0.052,169.232,-99.969,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,15226.0,15054.0,1.143,0.177,169.232,-99.896,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,15246.0,15054.0,1.275,0.171,169.232,-99.899,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,15171.0,15054.0,0.777,0.412,169.232,-99.757,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,15100.0,15054.0,0.306,0.426,169.232,-99.748,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,15116.0,15054.0,0.412,2.012,169.232,-98.811,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,15162.0,15054.0,0.717,2.072,169.232,-98.776,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,15075.0,15054.0,0.139,17.254,169.232,-89.805,SetA_15x7S5-Solution
SetA_15x7S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,15115.0,15054.0,0.405,17.511,169.232,-89.653,SetA_15x7S5-Solution
SetA_20x10S10,GRASP_VND,DoorSwap-Reloc-Swap,1,31909.0,-1.0,-3191000.000,0.014,-1.0,-101.387,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,Reloc-Swap-DoorSwap,1,31462.0,-1.0,-3146300.000,0.014,-1.0,-101.380,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,DoorSwap-Reloc-Swap,10,30931.0,-1.0,-3093200.000,0.033,-1.0,-103.254,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,Reloc-Swap-DoorSwap,10,31032.0,-1.0,-3103300.000,0.034,-1.0,-103.386,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,DoorSwap-Reloc-Swap,100,30377.0,-1.0,-3037800.000,0.101,-1.0,-110.102,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,Reloc-Swap-DoorSwap,100,30419.0,-1.0,-3042000.000,0.095,-1.0,-109.486,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,30038.0,-1.0,-3003900.000,0.500,-1.0,-149.964,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,30150.0,-1.0,-3015100.000,0.454,-1.0,-145.444,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,29989.0,-1.0,-2999000.000,1.499,-1.0,-249.854,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,29983.0,-1.0,-2998400.000,1.212,-1.0,-221.216,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,29886.0,-1.0,-2988700.000,3.308,-1.0,-430.846,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,29810.0,-1.0,-2981100.000,3.024,-1.0,-402.446,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,29981.0,-1.0,-2998200.000,17.132,-1.0,-1813.220,SetA_20x10S10-Solution
SetA_20x10S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,29855.0,-1.0,-2985600.000,16.618,-1.0,-1761.791,SetA_20x10S10-Solution
SetA_20x10S15,GRASP_VND,DoorSwap-Reloc-Swap,1,31335.0,-1.0,-3133600.000,0.016,-1.0,-101.606,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,Reloc-Swap-DoorSwap,1,30694.0,-1.0,-3069500.000,0.015,-1.0,-101.538,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,DoorSwap-Reloc-Swap,10,30388.0,-1.0,-3038900.000,0.035,-1.0,-103.471,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,Reloc-Swap-DoorSwap,10,30571.0,-1.0,-3057200.000,0.031,-1.0,-103.051,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,DoorSwap-Reloc-Swap,100,30089.0,-1.0,-3009000.000,0.113,-1.0,-111.324,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,Reloc-Swap-DoorSwap,100,29946.0,-1.0,-2994700.000,0.094,-1.0,-109.410,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,29686.0,-1.0,-2968700.000,0.633,-1.0,-163.266,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,29937.0,-1.0,-2993800.000,0.422,-1.0,-142.172,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,29624.0,-1.0,-2962500.000,1.785,-1.0,-278.464,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,29662.0,-1.0,-2966300.000,1.229,-1.0,-222.893,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,29666.0,-1.0,-2966700.000,3.883,-1.0,-488.338,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,29717.0,-1.0,-2971800.000,3.198,-1.0,-419.775,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,29645.0,-1.0,-2964600.000,18.848,-1.0,-1984.802,SetA_20x10S15-Solution
SetA_20x10S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,29384.0,-1.0,-2938500.000,18.769,-1.0,-1976.866,SetA_20x10S15-Solution
SetA_20x10S20,GRASP_VND,DoorSwap-Reloc-Swap,1,31358.0,-1.0,-3135900.000,0.015,-1.0,-101.510,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,Reloc-Swap-DoorSwap,1,30753.0,-1.0,-3075400.000,0.014,-1.0,-101.434,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,DoorSwap-Reloc-Swap,10,29889.0,-1.0,-2989000.000,0.039,-1.0,-103.906,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,Reloc-Swap-DoorSwap,10,29763.0,-1.0,-2976400.000,0.029,-1.0,-102.949,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,DoorSwap-Reloc-Swap,100,29956.0,-1.0,-2995700.000,0.120,-1.0,-111.986,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,Reloc-Swap-DoorSwap,100,29759.0,-1.0,-2976000.000,0.091,-1.0,-109.124,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,29573.0,-1.0,-2957400.000,0.648,-1.0,-164.838,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,29394.0,-1.0,-2939500.000,0.446,-1.0,-144.570,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,29472.0,-1.0,-2947300.000,1.956,-1.0,-295.614,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,29416.0,-1.0,-2941700.000,1.259,-1.0,-225.902,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,29555.0,-1.0,-2955600.000,4.070,-1.0,-506.964,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,29337.0,-1.0,-2933800.000,3.234,-1.0,-423.355,SetA_20x10S20-Solution
SetA_20x10S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,29452.0,-1.0,-2945300.000,20.322,-1.0,-2132.172,SetA_20x10S20-Solution
