Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,ValueDeviation,Time(s),OptimalSolutionTime(s),TimeDeviation,SolutionFile
SetA_10x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6478.0,6476.0,0.031,4.220,0.096,4295.933,SetA_10x5S10-Solution
SetA_10x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6478.0,6476.0,0.031,4.252,0.096,4329.168,SetA_10x5S10-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1,6728.0,6397.0,5.174,0.009,0.085,-89.545,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1,6853.0,6397.0,7.128,0.010,0.085,-88.019,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10,6573.0,6397.0,2.751,0.017,0.085,-80.579,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10,6460.0,6397.0,0.985,0.020,0.085,-76.294,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100,6453.0,6397.0,0.875,0.039,0.085,-53.973,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100,6459.0,6397.0,0.969,0.034,0.085,-59.419,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,6437.0,6397.0,0.625,0.080,0.085,-5.995,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,6446.0,6397.0,0.766,0.074,0.085,-13.436,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,6424.0,6397.0,0.422,0.166,0.085,94.811,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,6397.0,6397.0,0.000,0.154,0.085,81.135,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,6421.0,6397.0,0.375,0.590,0.085,593.541,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,6421.0,6397.0,0.375,0.576,0.085,577.687,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6397.0,6397.0,0.000,4.531,0.085,5231.022,SetA_10x5S15-Solution
SetA_10x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6421.0,6397.0,0.375,4.560,0.085,5264.764,SetA_10x5S15-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1,6601.0,6342.0,4.084,0.010,0.096,-89.445,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1,6435.0,6342.0,1.466,0.010,0.096,-89.095,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10,6430.0,6342.0,1.388,0.018,0.096,-81.292,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10,6418.0,6342.0,1.198,0.024,0.096,-74.609,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100,6360.0,6342.0,0.284,0.059,0.096,-39.052,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100,6392.0,6342.0,0.788,0.035,0.096,-63.557,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,6354.0,6342.0,0.189,0.086,0.096,-10.144,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,6354.0,6342.0,0.189,0.081,0.096,-16.063,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,6351.0,6342.0,0.142,0.170,0.096,76.753,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,6369.0,6342.0,0.426,0.164,0.096,70.593,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,6342.0,6342.0,0.000,0.810,0.096,743.879,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,6354.0,6342.0,0.189,0.691,0.096,620.023,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6342.0,6342.0,0.000,5.702,0.096,5839.538,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6351.0,6342.0,0.142,5.145,0.096,5259.502,SetA_10x5S20-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1,6498.0,6308.0,3.012,0.011,0.094,-88.208,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1,6670.0,6308.0,5.739,0.009,0.094,-90.219,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10,6423.0,6308.0,1.823,0.019,0.094,-79.446,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10,6406.0,6308.0,1.554,0.022,0.094,-76.179,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100,6348.0,6308.0,0.634,0.041,0.094,-56.606,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100,6341.0,6308.0,0.523,0.037,0.094,-60.908,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,6333.0,6308.0,0.396,0.098,0.094,4.513,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,6337.0,6308.0,0.460,0.091,0.094,-3.415,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,6333.0,6308.0,0.396,0.200,0.094,112.951,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,6337.0,6308.0,0.460,0.169,0.094,79.391,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,6333.0,6308.0,0.396,0.687,0.094,631.273,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,6333.0,6308.0,0.396,0.657,0.094,599.248,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6308.0,6308.0,0.000,5.723,0.094,5988.637,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6308.0,6308.0,0.000,6.515,0.094,6830.553,SetA_10x5S30-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1,6728.0,6616.0,1.693,0.017,0.127,-86.956,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1,6678.0,6616.0,0.937,0.011,0.127,-91.294,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10,6673.0,6616.0,0.862,0.022,0.127,-82.291,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10,6664.0,6616.0,0.726,0.024,0.127,-81.031,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100,6616.0,6616.0,0.000,0.068,0.127,-46.155,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100,6616.0,6616.0,0.000,0.056,0.127,-55.619,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000,6616.0,6616.0,0.000,0.102,0.127,-19.950,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000,6616.0,6616.0,0.000,0.116,0.127,-8.914,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,10000,6616.0,6616.0,0.000,0.309,0.127,143.138,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,10000,6616.0,6616.0,0.000,0.177,0.127,39.295,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,100000,6616.0,6616.0,0.000,0.546,0.127,329.808,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,100000,6616.0,6616.0,0.000,0.562,0.127,342.401,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6616.0,6616.0,0.000,3.933,0.127,2996.685,SetA_10x5S5-Solution
SetA_10x5S5,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6616.0,6616.0,0.000,3.850,0.127,2931.794,SetA_10x5S5-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1,7711.0,7572.0,1.836,0.010,0.592,-98.263,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1,7941.0,7572.0,4.873,0.011,0.592,-98.210,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10,7629.0,7572.0,0.753,0.018,0.592,-97.009,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10,7686.0,7572.0,1.506,0.017,0.592,-97.181,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100,7617.0,7572.0,0.594,0.038,0.592,-93.575,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100,7642.0,7572.0,0.924,0.035,0.592,-94.046,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,7608.0,7572.0,0.475,0.085,0.592,-85.682,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,7613.0,7572.0,0.541,0.096,0.592,-83.841,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,7572.0,7572.0,0.000,0.206,0.592,-65.273,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,7572.0,7572.0,0.000,0.200,0.592,-66.283,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,7572.0,7572.0,0.000,0.765,0.592,29.209,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,7595.0,7572.0,0.304,0.720,0.592,21.631,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,7592.0,7572.0,0.264,5.888,0.592,894.677,SetA_11x5S10-Solution
SetA_11x5S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,7583.0,7572.0,0.145,5.646,0.592,853.796,SetA_11x5S10-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,1,7967.0,7535.0,5.733,0.011,0.571,-98.022,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,1,7619.0,7535.0,1.115,0.011,0.571,-98.160,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,DoorSwap-Reloc-Swap,10,7592.0,7535.0,0.756,0.017,0.571,-97.018,SetA_11x5S15-Solution
SetA_11x5S15,GRASP_VND,Reloc-Swap-DoorSwap,10,7755.0,7535.0,2.920,0.023,0.571,-95.995,SetA_11x5S15-Solution
