Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,Time(ns),SolutionFile
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100,6369.0,6342.0,38183328,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,6354.0,6342.0,89458915,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,6361.0,6342.0,216314955,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,6342.0,6342.0,716266728,SetA_10x5S20-Solution
SetA_10x5S20,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6354.0,6342.0,4951815291,SetA_10x5S20-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1,6398.0,6308.0,11850058,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10,6400.0,6308.0,18273075,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100,6343.0,6308.0,46975295,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000,6308.0,6308.0,112446269,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,10000,6333.0,6308.0,254142240,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,100000,6333.0,6308.0,796546500,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6333.0,6308.0,5304225941,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1,6496.0,6308.0,10139729,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10,6383.0,6308.0,16005498,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100,6333.0,6308.0,37780365,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000,6324.0,6308.0,90095274,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,10000,6308.0,6308.0,218178212,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,100000,6333.0,6308.0,721425908,SetA_10x5S30-Solution
SetA_10x5S30,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6333.0,6308.0,5223582021,SetA_10x5S30-Solution
