Problem, Algorithm, Objective Function Value, CPU (ns), NotFeasible, Solution output
SetA_20x10S15,MinCapacityRandom,33854.0,3996000,,SetA_20x10S15-Solution
SetA_20x10S20,MaxCapacity,33333.0,2689300,,SetA_20x10S20-Solution
SetA_20x10S20,MinCapacity,33378.0,2970100,,SetA_20x10S20-Solution
SetA_20x10S20,MaxCapacityRandom,34615.0,4020800,,SetA_20x10S20-Solution
SetA_20x10S20,MinCapacityRandom,34096.0,3846900,,SetA_20x10S20-Solution
SetA_20x10S30,MaxCapacity,33333.0,2705200,,SetA_20x10S30-Solution
SetA_20x10S30,MinCapacity,33143.0,3283600,,SetA_20x10S30-Solution
SetA_20x10S30,MaxCapacityRandom,35004.0,4201300,,SetA_20x10S30-Solution
SetA_20x10S30,MinCapacityRandom,32890.0,3893900,,SetA_20x10S30-Solution
SetA_20x10S5,MaxCapacity,33333.0,2652400,,SetA_20x10S5-Solution
SetA_20x10S5,MinCapacity,34346.0,2939200,,SetA_20x10S5-Solution
SetA_20x10S5,MaxCapacityRandom,34320.0,4259700,,SetA_20x10S5-Solution
SetA_20x10S5,MinCapacityRandom,34250.0,3987300,,SetA_20x10S5-Solution
SetA_8x4S10,MaxCapacity,5549.0,3146400,,SetA_8x4S10-Solution
SetA_8x4S10,MinCapacity,5658.0,2742100,,SetA_8x4S10-Solution
SetA_8x4S10,MaxCapacityRandom,5604.0,3938100,,SetA_8x4S10-Solution
SetA_8x4S10,MinCapacityRandom,5477.0,3601600,,SetA_8x4S10-Solution
SetA_8x4S15,MaxCapacity,5549.0,2782300,,SetA_8x4S15-Solution
SetA_8x4S15,MinCapacity,5536.0,3059300,,SetA_8x4S15-Solution
SetA_8x4S15,MaxCapacityRandom,5734.0,3292600,,SetA_8x4S15-Solution
SetA_8x4S15,MinCapacityRandom,5443.0,3409800,,SetA_8x4S15-Solution
SetA_8x4S20,MaxCapacity,5549.0,3049900,,SetA_8x4S20-Solution
SetA_8x4S20,MinCapacity,5546.0,3573200,,SetA_8x4S20-Solution
SetA_8x4S20,MaxCapacityRandom,5508.0,3709000,,SetA_8x4S20-Solution
SetA_8x4S20,MinCapacityRandom,5600.0,3356100,,SetA_8x4S20-Solution
